dataset_source,repo_name,input_commit_pairs,eligible_commit_pairs,python_file_change_audits,current_blob_attempts,parent_blob_attempts,blob_parse_attempts,parse_exclusion_records,current_file_parse_exclusions,parent_file_parse_exclusions,commit_pairs_with_parse_exclusions,repository_months,repository_months_with_parse_exclusions,unique_blob_revisions_attempted,unique_excluded_blob_revisions,repository_month_parse_exclusion_rate,commit_pair_parse_exclusion_rate,current_file_parse_exclusion_rate,parent_file_parse_exclusion_rate,blob_parse_exclusion_record_rate,unique_blob_parse_exclusion_rate,treatment_group,active_treatment,first_month,last_month,event_month,parse_exclusion_record_share,parse_exclusion_rank
control,aws-samples/aws-dms-cdc-data-pipeline,26,25,17,17,17,34,0,0,0,0,7,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-01,,0.0,53
control,aws/nova-act,92,89,411,411,325,736,0,0,0,0,6,0,602,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-03,2025-08,,0.0,53
control,baaivision/EVE,29,29,165,165,58,223,0,0,0,0,5,0,222,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2025-07,,0.0,53
control,bobokun/actualtap-py,167,131,87,87,60,147,0,0,0,0,14,0,136,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2025-08,,0.0,53
treatment,c4fun/tell-stories-webui,20,16,44,44,12,56,0,0,0,0,2,0,55,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-04,2025-02,0.0,53
control,caffeinedoom/reconthing,3,3,32,32,0,32,0,0,0,0,1,0,32,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-11,2024-11,,0.0,53
treatment,cgevans/qslib,168,166,154,154,150,304,0,0,0,0,15,0,263,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-02,2025-08,2025-02,0.0,53
treatment,codingforentrepreneurs/Cursor-Django,32,32,64,64,27,91,0,0,0,0,1,0,77,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2024-10,2024-10,0.0,53
treatment,cohnen/mcp-google-ads,18,16,13,13,9,22,0,0,0,0,4,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-08,2025-03,0.0,53
control,cyb3rfortr3ss/ByDeF,13,13,3,3,0,3,0,0,0,0,2,0,3,0,0.0,0.0,0.0,,0.0,0.0,0,0,2025-03,2025-05,,0.0,53
treatment,daojiAnime/vmq-fastapi,38,35,133,133,67,200,0,0,0,0,3,0,194,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-03,2025-01,0.0,53
control,davidhandsome86/LLM_RAG,4,4,4,4,0,4,0,0,0,0,2,0,4,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-02,2024-03,,0.0,53
control,dimatura/pypcd,5,1,1,1,1,2,0,0,0,0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2024-07,,0.0,53
treatment,discus0434/nook,21,21,29,29,19,48,0,0,0,0,3,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-04,2025-02,0.0,53
control,djeada/Kurs-Podstaw-Pythona,186,186,1,1,0,1,0,0,0,0,12,0,1,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-03,2025-05,,0.0,53
control,dottxt-ai/prompts,23,23,19,19,14,33,0,0,0,0,4,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2025-07,,0.0,53
control,dromara/domain-admin,284,284,529,529,440,969,0,0,0,0,18,0,912,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
control,dymmond/edgy,273,262,3715,3715,3341,7056,0,0,0,0,18,0,6796,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-07,,0.0,53
control,emresen20/Pau-Bilgisayar-nots,28,28,4,4,0,4,0,0,0,0,6,0,4,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-03,2024-12,,0.0,53
treatment,ericmjl/llamabot,1285,1191,945,945,882,1827,0,0,0,0,19,0,1660,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2024-09,0.0,53
treatment,ericmjl/pyds-cli,217,209,155,155,139,294,0,0,0,0,10,0,265,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-02,2025-04,2024-11,0.0,53
treatment,ericzakariasson/uber-eats-mcp-server,5,4,2,2,0,2,0,0,0,0,1,0,2,0,0.0,0.0,0.0,,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
treatment,ethyca/fides,1471,1471,4010,4010,3388,7398,0,0,0,0,20,0,7339,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
control,evermoving/SystemCaptioner,122,119,100,100,91,191,0,0,0,0,4,0,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-10,2025-08,,0.0,53
treatment,grapeot/web_agentic_ai,73,55,83,83,52,135,0,0,0,0,2,0,128,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-03,2025-02,0.0,53
treatment,hyperb1iss/droidmind,82,82,257,257,208,465,0,0,0,0,3,0,402,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-05,2025-03,0.0,53
control,infected4098/Wave-U-Mamba,73,73,25,25,15,40,0,0,0,0,7,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-09,2025-08,,0.0,53
control,itsKayWat/MindfulShift-2025,12,12,4,4,0,4,0,0,0,0,1,0,4,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-12,2024-12,,0.0,53
control,jacebrowning/datafiles,87,53,22,22,22,44,0,0,0,0,12,0,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-07,,0.0,53
control,jfcrenshaw/pzflow,7,7,17,17,17,34,0,0,0,0,4,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-03,,0.0,53
control,jinli99/iShapEditing,9,9,58,58,24,82,0,0,0,0,3,0,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-03,2025-03,,0.0,53
treatment,jmurth1234/ClaudePlayer,12,12,38,38,16,54,0,0,0,0,2,0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-03,2025-03,0.0,53
control,jrowellfx/lsseq,60,57,19,19,19,38,0,0,0,0,8,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2025-07,,0.0,53
control,kangtegong/pyftrace,60,59,102,102,76,178,0,0,0,0,4,0,157,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-10,2025-03,,0.0,53
treatment,keephq/keep,2253,2188,4201,4201,3685,7886,0,0,0,0,20,0,7676,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
control,kuleshov-group/caduceus,34,31,57,57,12,69,0,0,0,0,10,0,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-06,,0.0,53
control,lancedb/lancedb,1574,1571,1291,1291,1221,2512,0,0,0,0,17,0,2457,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-04,2025-08,,0.0,53
control,loml13yyy/AtlassianConfluence-RCE,7,7,4,4,3,7,0,0,0,0,1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-10,2024-10,,0.0,53
control,loml13yyy/yyGRPU8,6,6,3,3,2,5,0,0,0,0,1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-10,2024-10,,0.0,53
treatment,lss233/kirara-ai,354,305,1783,1783,1485,3268,0,0,0,0,8,0,3047,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-02,2025-06,2025-02,0.0,53
control,markmelnic/stealthenium,4,4,23,23,3,26,0,0,0,0,3,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2025-02,,0.0,53
treatment,martinnormark/neural-mesh-simplification,143,131,270,270,214,484,0,0,0,0,5,0,446,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-08,2025-03,2025-01,0.0,53
treatment,matebenyovszky/healing-agent,18,15,94,94,56,150,0,0,0,0,3,0,128,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-10,2025-01,2024-10,0.0,53
control,microsoft/AzureTRE,284,284,279,279,260,539,0,0,0,0,19,0,536,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-07,,0.0,53
control,monero-project/meta,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2025-05,2025-05,,0.0,53
control,neuml/rag,31,31,11,11,10,21,0,0,0,0,8,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2025-05,,0.0,53
treatment,nextml-code/pytorch-datastream,13,13,14,14,13,27,0,0,0,0,3,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-08,2025-01,2025-01,0.0,53
control,nhw649/EOV-Seg,14,13,63,63,16,79,0,0,0,0,3,0,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2024-12,,0.0,53
control,ninareyes1/Simple-Digital-Clock,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.0,,0.0,0.0,0,0,2025-02,2025-02,,0.0,53
control,odoo/industry,530,526,896,896,759,1655,0,0,0,0,13,0,1570,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2025-08,,0.0,53
control,omkarcloud/amazon-scraper,3,3,8,8,1,9,0,0,0,0,1,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2024-01,,0.0,53
treatment,osomai/servicenow-mcp,40,28,122,122,55,177,0,0,0,0,5,0,161,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-08,2025-03,0.0,53
control,peter279k/cdc-data-mirror,70890,70890,1,1,1,2,0,0,0,0,20,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
control,popey/sbommage,38,31,4,4,2,6,0,0,0,0,2,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-02,2025-08,,0.0,53
treatment,raphaelmansuy/code2prompt,141,134,231,231,150,381,0,0,0,0,6,0,340,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-03,2025-01,2024-09,0.0,53
treatment,raphaelmansuy/iteration_of_tought,21,19,13,13,10,23,0,0,0,0,1,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-09,2024-09,2024-09,0.0,53
control,ruiqini/NTFields,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2024-07,2024-07,,0.0,53
treatment,samuelgursky/davinci-resolve-mcp,15,15,49,49,14,63,0,0,0,0,2,0,62,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-04,2025-03,0.0,53
control,saucer-man/qq_msg_decode,1,1,2,2,1,3,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2024-06,,0.0,53
treatment,sbomify/sbomify,609,407,1053,1053,740,1793,0,0,0,0,8,0,1675,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-08,2025-01,0.0,53
control,slopp/30_days_of_dagster,73,57,73,73,32,105,0,0,0,0,2,0,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-11,2024-12,,0.0,53
treatment,smartian1/tgtrader,245,243,678,678,536,1214,0,0,0,0,5,0,994,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-12,2025-04,2025-01,0.0,53
treatment,smorin/py-launch-blueprint,334,263,68,68,58,126,0,0,0,0,6,0,115,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-01,2025-06,2025-03,0.0,53
treatment,sshtunnelvision/MCP-LOGO-GEN,15,15,16,16,6,22,0,0,0,0,1,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
treatment,synaptiai/prompt-decorators,245,164,1506,1506,1122,2628,0,0,0,0,7,0,1919,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-02,2025-08,2025-03,0.0,53
control,taylorwilsdon/open-webui-tools,33,27,15,15,13,28,0,0,0,0,4,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-02,2025-05,,0.0,53
treatment,terryyin/lizard,188,177,325,325,308,633,0,0,0,0,12,0,519,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-04,2025-08,2025-01,0.0,53
control,thefatedefeater/V2ray-Config,4200,4200,3,3,0,3,0,0,0,0,8,0,3,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-06,2025-01,,0.0,53
treatment,tmux-python/tmuxp,402,368,482,482,482,964,0,0,0,0,20,0,923,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
treatment,tony/django-docutils,253,240,218,218,218,436,0,0,0,0,20,0,418,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
treatment,tony/django-slugify-processor,226,216,39,39,39,78,0,0,0,0,20,0,76,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
treatment,tsukumijima/KonomiTV,1033,966,807,807,788,1595,0,0,0,0,20,0,1447,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-01,0.0,53
control,tusgino/llm-code-reviewer,39,32,54,54,34,88,0,0,0,0,1,0,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-11,2024-11,,0.0,53
treatment,utensils/mcp-nixos,348,329,890,890,713,1603,0,0,0,0,5,0,1404,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-08,2025-03,0.0,53
treatment,vcs-python/vcspull,289,272,131,131,131,262,0,0,0,0,20,0,252,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
treatment,vietanhdev/anylabeling,51,44,102,102,95,197,0,0,0,0,9,0,168,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-06,2025-07,2025-03,0.0,53
control,viktoriasemaan/sa-ai-agent,37,34,34,34,22,56,0,0,0,0,2,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2024-10,,0.0,53
control,vonssy/BlockBitsApp-BOT,3,3,2,2,1,3,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-12,2024-12,,0.0,53
control,vonssy/DreamerQuests-BOT,4,4,3,3,2,5,0,0,0,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-03,2025-07,,0.0,53
control,vortezwohl/Bhakti,114,107,248,248,186,434,0,0,0,0,4,0,374,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-08,2025-04,,0.0,53
control,wasilukm/hoymiles-mqtt,27,27,30,30,29,59,0,0,0,0,6,0,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-01,,0.0,53
treatment,wdm0006/elote,30,29,176,176,136,312,0,0,0,0,5,0,277,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-07,2025-06,2025-02,0.0,53
treatment,wdm0006/git-pandas,41,39,159,159,128,287,0,0,0,0,6,0,263,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-07,2025-07,2025-03,0.0,53
treatment,wdm0006/pygeohash,55,40,95,95,75,170,0,0,0,0,8,0,145,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-06,2025-07,2025-03,0.0,53
control,weaviate/t2v-transformers-models,71,41,64,64,61,125,0,0,0,0,13,0,122,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-01,2025-08,,0.0,53
control,weizequan/TASHR,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,,,,0,0,2024-03,2024-03,,0.0,53
control,xinsir6/ControlNetPlus,51,48,53,53,30,83,0,0,0,0,3,0,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-07,2024-09,,0.0,53
control,xnl-h4ck3r/getSubsidiaries,5,5,1,1,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.0,,0.0,0.0,0,0,2024-12,2024-12,,0.0,53
treatment,xzq-xu/jvm-mcp-server,40,28,75,75,45,120,0,0,0,0,3,0,91,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-06,2025-03,0.0,53
treatment,yagami1997/CursorMind,31,31,18,18,0,18,0,0,0,0,1,0,18,0,0.0,0.0,0.0,,0.0,0.0,1,1,2025-03,2025-03,2025-03,0.0,53
control,yihozhang/most-influential-pl-papers,3,3,4,4,2,6,0,0,0,0,1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-01,2025-01,,0.0,53
control,yoongi43/music_audio_enhancement_conformer,9,8,20,20,8,28,0,0,0,0,4,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-06,2025-03,,0.0,53
control,ysj9909/SHViT,29,29,63,63,5,68,0,0,0,0,4,0,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-03,2024-06,,0.0,53
treatment,zauberzeug/nicegui,1190,1083,2202,2202,2031,4233,0,0,0,0,20,0,4116,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024-01,2025-08,2025-03,0.0,53
control,zeyangsha/De-Fake,18,18,28,28,5,33,0,0,0,0,3,0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-02,2025-06,,0.0,53
control,zhang-xr/FirmLLM,89,83,61,61,44,105,0,0,0,0,3,0,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2025-02,2025-04,,0.0,53
control,zhipeixu/FakeShield,35,34,437,437,7,444,0,0,0,0,6,0,444,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2024-10,2025-06,,0.0,53
treatment,zilliztech/mcp-server-milvus,30,22,13,13,11,24,0,0,0,0,4,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2025-03,2025-06,2025-03,0.0,53
control,zju3dv/ready_to_react,4,4,80,80,0,80,0,0,0,0,2,0,80,0,0.0,0.0,0.0,,0.0,0.0,0,0,2025-02,2025-03,,0.0,53
